,Close,MA_20,StdDev,Upper_Band,Lower_Band,TP,SMA,MAD,CCI,Decision
2023-05-01,88.85299682617188,89.75734901428223,0.5305133151344238,90.81837564455107,88.69632238401338,88.85299682617188,89.75734901428223,0.4215444564819336,-143.0220346797689,NEUTRAL
2023-05-02,89.9489974975586,89.75999870300294,0.5313739276634689,90.82274655832987,88.697250847676,89.9489974975586,89.75999870300294,0.4233992385864241,29.758956768818095,NEUTRAL
2023-05-03,90.4540023803711,89.818798828125,0.5402229516135387,90.89924473135207,88.73835292489792,90.4540023803711,89.818798828125,0.41047943115234486,103.16449563426852,NEUTRAL
2023-05-04,89.99600219726562,89.8533489227295,0.5275820635920734,90.90851304991364,88.79818479554535,89.99600219726562,89.8533489227295,0.37637462615966655,25.267958149692635,NEUTRAL
2023-05-07,89.97200012207031,89.88664894104004,0.5120044723745556,90.91065788578915,88.86263999629092,89.97200012207031,89.88664894104004,0.3349597167968767,16.987352359156308,NEUTRAL
2023-05-08,89.84500122070312,89.96304893493652,0.3555592173210442,90.67416736957861,89.25193050029443,89.84500122070312,89.96304893493652,0.2222352981567383,-35.41223055398447,NEUTRAL
2023-05-09,89.94000244140625,89.98424911499023,0.33979197850799187,90.66383307200621,89.30466515797426,89.94000244140625,89.98424911499023,0.19662513732910156,-15.002040324046142,NEUTRAL
2023-05-10,89.90399932861328,89.97644920349121,0.33975212432056945,90.65595345213235,89.29694495485008,89.90399932861328,89.97644920349121,0.1969050216674802,-24.52955042805052,NEUTRAL
2023-05-11,89.51300048828125,89.94274940490723,0.3510090454342927,90.64476749577582,89.24073131403864,89.51300048828125,89.94274940490723,0.21309997558593635,-134.44359951844243,NEUTRAL
2023-05-14,89.0979995727539,89.90224952697754,0.39871698218134477,90.69968349134024,89.10481556261485,89.0979995727539,89.90224952697754,0.26912479400634626,-199.22602751214632,BUY
2023-05-15,89.36799621582031,89.89509925842285,0.40729263556903317,90.70968452956092,89.08051398728477,89.36799621582031,89.89509925842285,0.27985019683838175,-125.56790467602552,NEUTRAL
2023-05-16,89.33000183105469,89.86009941101074,0.4247907202435203,90.70968085149778,89.0105179705237,89.33000183105469,89.86009941101074,0.315360031127932,-112.06188221550595,NEUTRAL
